Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,0,,0
2020-02-26,0,,0
2020-02-27,0,0.0,0
2020-02-28,0,0.0,0
2020-02-29,0,0.0,0
2020-03-01,0,0.14,0
2020-03-02,0,0.14,0
2020-03-03,0,0.14,0
2020-03-04,1,0.14,0
2020-03-05,0,0.29,0
2020-03-06,0,0.57,0
2020-03-07,0,0.71,0
2020-03-08,1,0.71,0
2020-03-09,2,1.0,0
2020-03-10,1,2.0,0
2020-03-11,1,2.14,0
2020-03-12,2,2.29,0
2020-03-13,7,3.43,0
2020-03-14,1,4.71,0
2020-03-15,2,5.71,0
2020-03-16,10,6.14,0
2020-03-17,10,7.86,0
2020-03-18,8,8.43,0
2020-03-19,5,8.71,0
2020-03-20,19,8.71,0
2020-03-21,5,9.29,0
2020-03-22,4,9.14,0
2020-03-23,10,9.71,0
2020-03-24,14,9.43,0
2020-03-25,7,9.43,0
2020-03-26,9,9.29,0
2020-03-27,17,10.57,0
2020-03-28,5,10.29,0
2020-03-29,3,11.29,0
2020-03-30,19,12.0,0
2020-03-31,12,10.71,0
2020-04-01,14,10.86,0
2020-04-02,14,11.0,0
2020-04-03,8,11.14,0
2020-04-04,6,11.71,0
2020-04-05,4,10.71,0
2020-04-06,20,10.43,0
2020-04-07,16,10.14,0
2020-04-08,7,9.71,0
2020-04-09,12,9.57,0
2020-04-10,6,7.14,0
2020-04-11,3,5.71,0
2020-04-12,3,5.86,0
2020-04-13,3,5.14,0
2020-04-14,6,4.86,0
2020-04-15,8,5.14,0
2020-04-16,7,4.86,0
2020-04-17,4,6.57,0
2020-04-18,5,6.0,0
2020-04-19,1,5.14,0
2020-04-20,15,4.29,0
2020-04-21,2,3.71,0
2020-04-22,2,3.14,0
2020-04-23,1,3.0,0
2020-04-24,0,1.0,0
2020-04-25,1,1.0,0
2020-04-26,0,1.0,0
2020-04-27,1,1.0,0
2020-04-28,2,1.0,0
2020-04-29,2,0.86,0
2020-04-30,1,0.86,0
2020-05-01,0,0.86,0
2020-05-02,0,0.57,0
2020-05-03,0,0.29,0
2020-05-04,1,0.14,0
2020-05-05,0,0.29,0
2020-05-06,0,0.29,0
2020-05-07,0,0.29,0
2020-05-08,1,0.14,0
2020-05-09,0,0.29,0
2020-05-10,0,0.29,0
2020-05-11,0,0.29,0
2020-05-12,1,0.29,0
2020-05-13,0,0.29,0
2020-05-14,0,0.29,0
2020-05-15,1,0.29,0
2020-05-16,0,0.14,0
2020-05-17,0,0.14,0
2020-05-18,0,0.14,0
2020-05-19,0,0.14,0
2020-05-20,0,0.14,0
2020-05-21,0,0.14,0
2020-05-22,1,0.14,0
2020-05-23,0,0.14,0
2020-05-24,0,0.29,0
2020-05-25,0,0.29,0
2020-05-26,0,0.43,0
2020-05-27,1,0.43,0
2020-05-28,0,0.43,0
