Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Intensivbetten
2021-07-22,4,2.0,13.0
2021-07-23,4,2.0,11.0
2021-07-24,4,2.0,11.0
2021-07-25,4,2.0,11.0
2021-07-26,5,3.0,14.0
2021-07-27,6,3.0,14.0
2021-07-28,5,2.0,19.0
2021-07-29,6,2.0,17.0
2021-07-30,6,3.0,15.0
2021-07-31,6,3.0,15.0
2021-08-01,6,3.0,15.0
2021-08-02,8,2.0,9.0
2021-08-03,11,3.0,13.0
2021-08-04,9,4.0,14.0
2021-08-05,8,4.0,10.0
2021-08-06,10,3.0,12.0
2021-08-07,10,3.0,12.0
2021-08-08,10,3.0,12.0
2021-08-09,18,4.0,22.0
2021-08-10,17,7.0,17.0
2021-08-11,15,6.0,16.0
2021-08-12,25,7.0,17.0
2021-08-13,25,7.0,23.0
2021-08-14,25,7.0,23.0
2021-08-15,25,7.0,23.0
2021-08-16,40,8.0,10.0
2021-08-17,35,11.0,12.0
2021-08-18,31,11.0,14.0
2021-08-19,35,12.0,12.0
2021-08-20,37,14.0,8.0
2021-08-21,37,14.0,8.0
2021-08-22,37,14.0,8.0
2021-08-23,60,19.0,8.0
2021-08-24,57,20.0,11.0
2021-08-25,51,19.0,6.0
2021-08-26,52,25.0,1.0
2021-08-27,52,29.0,2.0
2021-08-28,52,29.0,2.0
2021-08-29,52,29.0,2.0
2021-08-30,57,29.0,2.0
2021-08-31,59,25.0,4.0
2021-09-01,62,24.0,4.0
2021-09-02,48,26.0,1.0
2021-09-03,51,25.0,1.0
2021-09-04,51,25.0,1.0
2021-09-05,51,25.0,1.0
2021-09-06,48,28.0,2.0
2021-09-07,50,24.0,4.0
2021-09-08,48,27.0,3.0
2021-09-09,50,27.0,3.0
2021-09-10,52,25.0,6.0
2021-09-11,52,25.0,6.0
2021-09-12,52,25.0,6.0
2021-09-13,61,27.0,7.0
2021-09-14,61,26.0,3.0
2021-09-15,60,26.0,8.0
2021-09-16,58,26.0,7.0
