date,voll. geimpft,nicht voll. geimpft
2021-04-11,2.8,7.8
2021-04-18,2.4,9.7
2021-04-25,2.1,8.8
2021-05-02,2.0,8.9
2021-05-09,1.5,7.3
2021-05-16,0.4,4.9
2021-05-23,0.7,6.8
2021-05-30,0.9,3.9
2021-06-06,0.5,2.8
2021-06-13,0.5,2.1
2021-06-20,0.2,1.8
2021-06-27,0.2,1.1
2021-07-04,0.2,0.0
2021-07-11,0.0,1.6
2021-07-18,0.4,3.8
2021-07-25,0.8,4.9
2021-08-01,0.6,9.0
2021-08-08,0.9,10.2
2021-08-15,1.6,22.3
2021-08-22,2.4,28.0
2021-08-29,2.3,32.8
2021-09-05,2.4,30.1
2021-09-12,2.6,22.8
2021-09-19,2.3,24.3
2021-09-26,2.0,25.6
2021-10-03,1.6,15.5
2021-10-10,2.3,16.8
2021-10-17,2.4,15.1
2021-10-24,3.2,15.7
2021-10-31,3.6,23.9
2021-11-07,4.8,29.4
2021-11-14,6.2,38.4
2021-11-21,7.7,59.3
2021-11-28,7.8,63.1
